iter	Passed	Remaining
582	2496	1785
583	2497	1779
584	2499	1773
585	2501	1766
586	2507	1764
587	2509	1758
588	2511	1752
589	2512	1746
590	2514	1740
591	2516	1734
592	2519	1729
593	2523	1724
594	2525	1719
595	2530	1715
596	2532	1709
597	2534	1703
598	2536	1697
599	2537	1691
600	2539	1686
601	2541	1680
602	2542	1674
603	2544	1668
604	2555	1668
605	2557	1662
606	2559	1657
607	2561	1651
608	2564	1646
609	2566	1641
610	2568	1635
611	2570	1629
612	2572	1623
613	2574	1618
614	2578	1613
615	2588	1613
616	2590	1607
617	2591	1602
618	2593	1596
619	2595	1590
620	2597	1585
621	2599	1579
622	2601	1573
623	2607	1570
624	2610	1566
625	2612	1561
626	2616	1556
627	2617	1550
628	2621	1546
629	2623	1540
630	2625	1535
631	2626	1529
632	2628	1523
633	2630	1518
634	2636	1515
635	2638	1510
636	2640	1504
637	2641	1499
638	2643	1493
639	2645	1488
640	2651	1485
641	2653	1479
642	2655	1474
643	2656	1468
644	2658	1463
645	2660	1457
646	2666	1454
647	2668	1449
648	2669	1443
649	2671	1438
650	2673	1433
651	2674	1427
652	2678	1423
653	2682	1419
654	2684	1413
655	2685	1408
656	2687	1403
657	2689	1397
658	2690	1392
659	2698	1390
660	2699	1384
661	2701	1379
662	2703	1374
663	2704	1368
664	2706	1363
665	2709	1359
666	2712	1354
667	2715	1349
668	2717	1344
669	2718	1339
670	2722	1334
671	2726	1330
672	2727	1325
673	2729	1320
674	2731	1314
675	2732	1309
676	2734	1304
677	2740	1301
678	2742	1296
679	2744	1291
680	2745	1286
681	2747	1281
682	2749	1275
683	2754	1272
684	2756	1267
685	2757	1262
686	2759	1257
687	2761	1252
688	2762	1247
689	2764	1241
690	2770	1238
691	2772	1233
692	2773	1228
693	2775	1223
694	2777	1218
695	2778	1213
696	2783	1210
697	2786	1205
698	2788	1200
699	2790	1195
700	2791	1190
701	2793	1185
702	2798	1182
703	2802	1178
704	2803	1173
705	2805	1168
706	2807	1163
707	2808	1158
708	2812	1154
709	2815	1150
710	2818	1145
711	2822	1141
712	2824	1136
713	2828	1133
714	2830	1128
715	2831	1123
716	2833	1118
717	2835	1113
718	2836	1108
719	2842	1105
720	2844	1100
721	2845	1095
722	2847	1090
723	2849	1086
724	2850	1081
725	2852	1076
726	2859	1073
727	2860	1068
728	2862	1064
729	2864	1059
730	2865	1054
731	2867	1049
732	2873	1046
733	2875	1042
734	2877	1037
735	2879	1033
736	2885	1029
737	2887	1025
738	2889	1020
739	2891	1015
740	2892	1011
741	2894	1006
742	2895	1001
743	2897	997
744	2901	993
745	2904	988
746	2908	985
747	2911	981
748	2916	977
749	2920	973
750	2921	968
751	2923	964
752	2925	959
753	2926	954
754	2928	950
755	2933	946
756	2934	942
757	2936	937
758	2938	932
759	2939	928
760	2941	923
761	2948	920
762	2949	916
763	2951	911
764	2953	907
765	2954	902
766	2956	898
767	2962	894
768	2964	890
769	2966	885
770	2967	881
771	2969	876
772	2971	872
773	2974	868
774	2976	864
775	2978	859
776	2979	855
777	2981	850
778	2983	846
779	2984	841
780	2986	837
781	2992	834
782	2994	829
783	2996	825
784	2997	821
785	2999	816
786	3001	812
787	3004	808
788	3008	804
789	3011	800
790	3016	796
791	3019	793
792	3022	789
793	3024	784
794	3026	780
795	3027	775
796	3029	771
797	3031	767
798	3037	764
799	3039	759
800	3041	755
801	3042	751
802	3044	746
803	3046	742
804	3051	739
805	3053	734
806	3054	730
807	3056	726
808	3058	722
809	3059	717
810	3063	713
811	3065	709
812	3067	705
813	3068	701
814	3070	696
815	3072	692
816	3073	688
817	3075	684
818	3081	680
819	3083	676
820	3084	672
821	3086	668
822	3088	664
823	3089	659
824	3095	656
825	3097	652
826	3099	648
827	3100	644
828	3102	639
829	3104	635
830	3107	631
831	3110	628
832	3113	624
833	3117	620
834	3119	616
835	3124	612
836	3127	609
837	3129	604
838	3131	600
839	3132	596
840	3134	592
841	3138	589
842	3142	585
843	3143	581
844	3145	577
845	3147	572
846	3149	568
847	3150	564
848	3154	561
849	3156	556
850	3157	552
851	3159	548
852	3161	544
853	3163	540
854	3164	536
855	3168	533
856	3172	529
857	3173	525
858	3175	521
859	3177	517
860	3178	513
861	3180	509
862	3185	505
863	3186	501
864	3188	497
865	3190	493
866	3191	489
867	3193	485
868	3200	482
869	3202	478
870	3204	474
871	3205	470
872	3207	466
873	3209	462
874	3213	459
875	3216	455
876	3219	451
877	3223	447
878	3228	444
879	3231	440
880	3232	436
881	3234	432
882	3236	428
883	3237	424
884	3239	420
885	3243	417
886	3244	413
887	3246	409
888	3248	405
889	3249	401
890	3251	397
891	3253	393
892	3257	390
893	3260	386
894	3262	382
895	3263	378
896	3265	374
897	3267	371
898	3269	367
899	3275	363
900	3277	360
901	3278	356
902	3280	352
903	3282	348
904	3283	344
905	3290	341
906	3291	337
907	3293	333
908	3295	329
909	3296	326
910	3298	322
911	3305	318
912	3307	315
913	3309	311
914	3310	307
915	3312	303
916	3314	299
917	3318	296
918	3321	292
919	3324	289
920	3329	285
921	3333	282
922	3335	278
923	3337	274
924	3339	270
925	3342	267
926	3344	263
927	3354	260
928	3357	256
929	3359	252
930	3369	249
931	3372	246
932	3374	242
933	3379	238
934	3382	235
935	3384	231
936	3386	227
937	3387	223
938	3389	220
939	3391	216
940	3396	212
941	3398	209
942	3399	205
943	3401	201
944	3403	198
945	3410	194
946	3413	191
947	3416	187
948	3418	183
949	3419	179
950	3423	176
951	3426	172
952	3428	169
953	3431	165
954	3436	161
955	3437	158
956	3443	154
957	3447	151
958	3455	147
959	3460	144
960	3464	140
961	3467	136
962	3484	133
963	3485	130
964	3492	126
965	3498	123
966	3509	119
967	3514	116
968	3519	112
969	3522	108
970	3530	105
971	3533	101
972	3538	98
973	3542	94
974	3551	91
975	3555	87
976	3561	83
977	3563	80
978	3565	76
979	3567	72
980	3575	69
981	3577	65
982	3579	61
983	3581	58
984	3585	54
985	3589	50
986	3596	47
987	3598	43
988	3602	40
989	3604	36
990	3606	32
991	3608	29
992	3610	25
993	3612	21
994	3615	18
995	3618	14
996	3623	10
997	3626	7
998	3628	3
999	3633	0
